index,year,month,day,hour,minute,target_temp
1,2018,3,9,11,0,20
2,2018,3,9,11,15,20
3,2018,3,9,11,30,20
4,2018,3,9,11,45,20
5,2018,3,9,12,0,20
6,2018,3,9,12,15,20
7,2018,3,9,12,30,20
8,2018,3,9,12,45,20
9,2018,3,9,13,0,20
10,2018,3,9,13,15,19
11,2018,3,9,13,30,18
12,2018,3,9,13,45,17
13,2018,3,9,14,0,16
14,2018,3,9,14,15,15
15,2018,3,9,14,30,7
16,2018,3,9,14,45,7
17,2018,3,9,15,0,7
18,2018,3,9,15,15,7
19,2018,3,9,15,30,7
20,2018,3,9,15,45,7
21,2018,3,9,16,0,7
22,2018,3,9,16,15,7
23,2018,3,9,16,30,7
24,2018,3,9,16,45,7
25,2018,3,9,17,0,7
26,2018,3,9,17,15,7
27,2018,3,9,17,30,7
28,2018,3,9,17,45,7
29,2018,3,9,18,0,7
30,2018,3,9,18,15,7
31,2018,3,9,18,30,7
32,2018,3,9,18,45,7
33,2018,3,9,19,0,7
34,2018,3,9,19,15,7
35,2018,3,9,19,30,7
36,2018,3,9,19,45,7
37,2018,3,9,20,0,7
38,2018,3,9,20,15,7
39,2018,3,9,20,30,7
40,2018,3,9,20,45,7
41,2018,3,9,21,0,7
42,2018,3,9,21,15,7
43,2018,3,9,21,30,7
44,2018,3,9,21,45,7
45,2018,3,9,22,0,7
46,2018,3,9,22,15,7
47,2018,3,9,22,30,7
48,2018,3,9,22,45,7
49,2018,3,9,23,0,7
50,2018,3,9,23,15,7
51,2018,3,9,23,30,7
52,2018,3,9,23,45,7
53,2018,3,10,0,0,7
54,2018,3,10,0,15,7
55,2018,3,10,0,30,7
56,2018,3,10,0,45,7
57,2018,3,10,1,0,7
58,2018,3,10,1,15,7
59,2018,3,10,1,30,7
60,2018,3,10,1,45,7
61,2018,3,10,2,0,7
62,2018,3,10,2,15,7
63,2018,3,10,2,30,7
64,2018,3,10,2,45,7
65,2018,3,10,3,0,7
66,2018,3,10,3,15,7
67,2018,3,10,3,30,7
68,2018,3,10,3,45,7
69,2018,3,10,4,0,7
